model,split,paper_id,generation,n_relations,n_rare,n_failed,min_prob,mean_prob,num_relations_meta,abstract_words,allowed,passed
qwen3_4b,dev,16152606,generation_3,4,0,0,0.9893600940704346,0.9900003373622894,4,153,0,True
qwen3_4b,dev,16181814,generation_1,3,0,0,0.962384819984436,0.9826593001683553,3,169,0,True
qwen3_4b,dev,16181814,generation_2,3,0,1,0.0275900159031152,0.6699050397922596,3,207,0,False
qwen3_4b,dev,16181814,generation_3,3,0,0,0.6859121322631836,0.8904692927996317,3,184,0,True
qwen3_4b,dev,16225977,generation_1,9,1,0,0.0522919110953807,0.8695982144110732,9,222,1,True
qwen3_4b,dev,16225977,generation_2,9,1,0,0.0525480210781097,0.8731595906946394,9,246,1,True
qwen3_4b,dev,16225977,generation_3,9,1,0,0.0185239501297473,0.8695849267144998,9,246,1,True
qwen3_4b,dev,16277682,generation_1,4,0,1,0.028379026800394,0.7526399651542305,4,199,0,False
qwen3_4b,dev,16277682,generation_2,4,0,1,0.0047860462218523,0.7448544730432332,4,197,0,False
qwen3_4b,dev,16277682,generation_3,4,0,1,0.0212606731802225,0.7509032622911036,4,184,0,False
qwen3_4b,dev,16419642,generation_1,4,0,2,0.0067179091274738,0.4999373536556959,4,137,0,False
qwen3_4b,dev,16419642,generation_2,4,0,1,0.0267900470644235,0.7448708326555789,4,145,0,False
qwen3_4b,dev,16419642,generation_3,4,0,2,0.0028926932718604,0.5129229737794958,4,168,0,False
qwen3_4b,dev,16565833,generation_1,9,0,2,0.0019460623152554,0.7554027807070978,9,132,1,False
qwen3_4b,dev,16565833,generation_2,9,0,2,0.0075051444582641,0.7752225659270253,9,127,1,False
qwen3_4b,dev,16565833,generation_3,9,0,1,0.0229504741728305,0.8661314716769589,9,191,1,True
qwen3_4b,dev,16611040,generation_1,1,0,0,0.9951930046081544,0.9951930046081544,1,161,0,True
qwen3_4b,dev,16611040,generation_2,1,0,0,0.9948397278785706,0.9948397278785706,1,161,0,True
qwen3_4b,dev,16611040,generation_3,1,0,0,0.9917117357254028,0.9917117357254028,1,166,0,True
qwen3_4b,dev,16680561,generation_1,6,1,1,0.0020593234803527,0.6572140217370664,6,184,0,False
qwen3_4b,dev,16680561,generation_2,6,1,1,0.0058070947416126,0.6572725556325166,6,135,0,False
qwen3_4b,dev,16680561,generation_3,6,1,1,0.0191002506762743,0.6468889337653915,6,149,0,False
qwen3_4b,dev,1671881,generation_1,6,0,2,0.0004943963140249,0.5970826642587781,6,171,0,False
qwen3_4b,dev,1671881,generation_2,6,0,2,0.0006420747376978,0.620639921243613,6,162,0,False
qwen3_4b,dev,1671881,generation_3,6,0,2,0.0005275226430967,0.5825092744586678,6,195,0,False
qwen3_4b,dev,16838170,generation_1,14,0,8,0.0020909560844302,0.4187829019002883,14,235,2,False
qwen3_4b,dev,16838170,generation_2,14,0,10,0.0014129679184406,0.3556645196929042,14,202,2,False
qwen3_4b,dev,16838170,generation_3,14,0,10,0.0012393319047987,0.3014751183966707,14,196,2,False
qwen3_4b,dev,16867021,generation_1,12,0,5,0.0039161345921456,0.5647384837502614,12,221,1,False
qwen3_4b,dev,16867021,generation_2,12,0,4,0.0057819699868559,0.6769882267496238,12,231,1,False
qwen3_4b,dev,16867021,generation_3,12,0,4,0.0055250921286642,0.6570859679098552,12,285,1,False
qwen3_4b,dev,16867246,generation_1,6,0,1,0.4853716194629669,0.9000821858644485,6,217,0,False
qwen3_4b,dev,16867246,generation_2,6,0,2,0.0128870205953717,0.6538137105914453,6,215,0,False
qwen3_4b,dev,16867246,generation_3,6,0,0,0.8627296686172485,0.9639673431714376,6,163,0,True
qwen3_4b,dev,17033974,generation_1,6,0,1,0.0196243822574615,0.8130156149466833,6,161,0,False
qwen3_4b,dev,17033974,generation_2,6,0,1,0.0531997084617614,0.82938352227211,6,239,0,False
qwen3_4b,dev,17033974,generation_3,6,0,1,0.0134697202593088,0.8153691431507468,6,198,0,False
qwen3_4b,dev,17042884,generation_1,5,0,2,0.026376437395811,0.6668926917016507,5,279,0,False
qwen3_4b,dev,17042884,generation_2,5,0,0,0.9499555230140686,0.9729132533073426,5,173,0,True
qwen3_4b,dev,17042884,generation_3,5,0,0,0.9433934092521667,0.9694174289703369,5,181,0,True
qwen3_4b,dev,17151160,generation_1,9,1,2,0.0003013667883351,0.6362347611769413,9,192,1,False
qwen3_4b,dev,17151160,generation_2,9,1,7,0.0004522505623754,0.16072731748055144,9,140,1,False
qwen3_4b,dev,17151160,generation_3,9,1,3,0.0003164257504977,0.5842936141481105,9,218,1,False
qwen3_4b,dev,17255138,generation_1,21,3,16,0.0002935504890047,0.09727011438060015,21,218,2,False
qwen3_4b,dev,17255138,generation_2,21,3,16,0.000226354735787,0.09860363839973048,21,234,2,False
qwen3_4b,dev,17255138,generation_3,21,3,17,0.0004740680160466,0.05313132692355703,21,180,2,False
qwen3_4b,dev,17297207,generation_1,8,0,6,0.0062276935204863,0.27575391478603706,8,152,0,False
qwen3_4b,dev,17297207,generation_2,8,0,5,0.0076659331098198,0.38471456570550794,8,173,0,False
qwen3_4b,dev,17297207,generation_3,8,0,7,0.0060224197804927,0.17226694186683741,8,167,0,False
qwen3_4b,dev,17345627,generation_1,16,0,8,0.0001938762288773,0.49888775713225186,16,168,2,False
qwen3_4b,dev,17345627,generation_2,16,0,8,0.0001909349375637,0.4980311324234208,16,177,2,False
qwen3_4b,dev,17345627,generation_3,16,0,8,0.0001937055203597,0.4967467753667733,16,174,2,False
qwen3_4b,dev,17384765,generation_1,9,0,6,0.0002941497368738,0.30787317398870884,9,175,1,False
qwen3_4b,dev,17384765,generation_2,9,0,6,0.0002065750741166,0.3242229487336266,9,164,1,False
qwen3_4b,dev,17384765,generation_3,9,0,5,0.0002704717044252,0.4111893140588007,9,209,1,False
qwen3_4b,dev,17395743,generation_1,7,0,2,0.0377327539026737,0.6880154306335109,7,177,0,False
qwen3_4b,dev,17395743,generation_2,7,0,4,0.0022618435323238,0.46128923505810754,7,163,0,False
qwen3_4b,dev,17395743,generation_3,7,0,4,0.015047688037157,0.44167942606977045,7,165,0,False
qwen3_4b,dev,17397547,generation_1,66,0,54,0.0001902748626889,0.19903837217465145,66,198,2,False
qwen3_4b,dev,17397547,generation_2,66,0,38,0.0001917915942613,0.42500088333525293,66,213,2,False
qwen3_4b,dev,17397547,generation_3,66,0,22,0.0002096842799801,0.6720807108574787,66,280,2,False
qwen3_4b,dev,17445520,generation_1,2,0,2,0.0004740350414067,0.0007848946261218999,2,173,0,False
qwen3_4b,dev,17445520,generation_2,2,0,2,0.0003227975685149,0.00032313476549455,2,197,0,False
qwen3_4b,dev,17445520,generation_3,2,0,2,0.0002679228491615,0.000289901101496,2,170,0,False
qwen3_4b,dev,17549393,generation_1,2,1,0,0.9783298373222352,0.9866710901260376,2,129,0,True
qwen3_4b,dev,17549393,generation_2,2,1,0,0.8615378737449646,0.9281442761421204,2,134,0,True
qwen3_4b,dev,17549393,generation_3,2,1,0,0.3115096986293793,0.6528957337141037,2,160,0,True
qwen3_4b,dev,17600377,generation_1,13,0,6,0.0145812565460801,0.5512780762779024,13,217,2,False
qwen3_4b,dev,17600377,generation_2,13,0,7,0.0139715448021888,0.4929818483785941,13,180,2,False
qwen3_4b,dev,17600377,generation_3,13,0,6,0.0002294931327924,0.5400111398641736,13,187,2,False
qwen3_4b,dev,17608141,generation_1,11,0,8,0.0002879303356166,0.286573648100867,11,226,1,False
qwen3_4b,dev,17608141,generation_2,11,0,6,0.0002477371017448,0.4641511767668734,11,195,1,False
qwen3_4b,dev,17608141,generation_3,11,0,8,0.001065676100552,0.31742623914033175,11,157,1,False
qwen3_4b,dev,17671735,generation_1,2,0,0,0.9717620015144348,0.9840979874134064,2,144,0,True
qwen3_4b,dev,17671735,generation_2,2,0,0,0.9801581501960754,0.9882327020168304,2,225,0,True
qwen3_4b,dev,17671735,generation_3,2,0,0,0.962291181087494,0.9794671833515167,2,171,0,True
qwen3_4b,dev,17943461,generation_1,19,0,5,0.0005414807819761,0.7197885307710079,19,167,2,False
qwen3_4b,dev,17943461,generation_2,19,0,5,0.0001894890883704,0.7385146386705425,19,238,2,False
qwen3_4b,dev,17943461,generation_3,19,0,2,0.0001874308654805,0.886938613710012,19,246,2,True
qwen3_4b,dev,17962394,generation_1,2,0,0,0.9841606020927428,0.9905379712581635,2,135,0,True
qwen3_4b,dev,17962394,generation_2,2,0,0,0.979140281677246,0.9882992208003998,2,147,0,True
qwen3_4b,dev,17962394,generation_3,2,0,0,0.9807915091514589,0.9889027774333954,2,193,0,True
qwen3_4b,dev,17968299,generation_1,1,0,0,0.9870992302894592,0.9870992302894592,1,146,0,True
qwen3_4b,dev,17968299,generation_2,1,0,0,0.9713451862335204,0.9713451862335204,1,172,0,True
qwen3_4b,dev,17968299,generation_3,1,0,0,0.988498032093048,0.988498032093048,1,162,0,True
qwen3_4b,dev,18046082,generation_1,2,1,0,0.9863982796669006,0.990919679403305,2,148,0,True
qwen3_4b,dev,18046082,generation_2,2,1,0,0.9886681437492372,0.9915602207183838,2,133,0,True
qwen3_4b,dev,18046082,generation_3,2,1,0,0.986922800540924,0.9907463788986206,2,151,0,True
qwen3_4b,dev,18162529,generation_1,21,0,8,0.0009250463335774,0.5162608582232635,21,218,2,False
qwen3_4b,dev,18162529,generation_2,21,0,8,0.0065935715101659,0.6046891151040438,21,269,2,False
qwen3_4b,dev,18162529,generation_3,21,0,9,0.0060261348262429,0.5874357995178018,21,210,2,False
qwen3_4b,dev,18308784,generation_1,6,0,4,0.0019805922638624,0.42939449035717797,6,163,0,False
qwen3_4b,dev,18308784,generation_2,6,0,3,0.0129936710000038,0.5046228035353124,6,182,0,False
qwen3_4b,dev,18308784,generation_3,6,0,4,0.0038521087262779,0.33513572086424875,6,208,0,False
qwen3_4b,dev,18385794,generation_1,14,0,6,0.0054677338339388,0.5303156313353351,14,240,2,False
qwen3_4b,dev,18385794,generation_2,14,0,5,0.0007654429646208,0.6333236879353146,14,222,2,False
qwen3_4b,dev,18385794,generation_3,14,0,8,0.0027520325966179,0.44005888949946625,14,197,2,False
qwen3_4b,dev,18951540,generation_1,1,0,0,0.9797348976135254,0.9797348976135254,1,161,0,True
qwen3_4b,dev,18951540,generation_2,1,0,0,0.9800102114677428,0.9800102114677428,1,186,0,True
qwen3_4b,dev,18951540,generation_3,1,0,0,0.9770749807357788,0.9770749807357788,1,164,0,True
qwen3_4b,dev,19300402,generation_1,36,0,24,0.000186427423614,0.3506296022169408,36,265,2,False
qwen3_4b,dev,19300402,generation_2,36,0,23,0.0002404781844234,0.37570224870958346,36,348,2,False
qwen3_4b,dev,19300402,generation_3,36,0,24,0.0002064494474325,0.3450209902083669,36,254,2,False
qwen3_4b,dev,19759529,generation_1,15,0,6,0.0019246304873377,0.5934742925378184,15,223,2,False
qwen3_4b,dev,19759529,generation_2,15,0,6,0.0028293128125369,0.5929205559504529,15,184,2,False
qwen3_4b,dev,19759529,generation_3,15,0,5,0.0011762499343603,0.6545179563729714,15,227,2,False
qwen3_4b,dev,19880293,generation_1,2,0,0,0.9791696667671204,0.9797596037387848,2,143,0,True
qwen3_4b,dev,19880293,generation_2,2,0,0,0.9877146482467652,0.988912969827652,2,140,0,True
qwen3_4b,dev,19880293,generation_3,2,0,0,0.991979956626892,0.9919863343238831,2,202,0,True
qwen3_4b,dev,19914299,generation_1,4,0,0,0.9594659805297852,0.9655547887086868,4,149,0,True
qwen3_4b,dev,19914299,generation_2,4,0,0,0.9601271748542786,0.9682767689228058,4,136,0,True
qwen3_4b,dev,19914299,generation_3,4,0,0,0.9658643007278442,0.9724091291427612,4,163,0,True
qwen3_4b,dev,20126413,generation_1,1,0,0,0.985865354537964,0.985865354537964,1,142,0,True
qwen3_4b,dev,20126413,generation_2,1,0,0,0.9798164963722228,0.9798164963722228,1,171,0,True
qwen3_4b,dev,20126413,generation_3,1,0,0,0.9884655475616456,0.9884655475616456,1,124,0,True
qwen3_4b,dev,20143913,generation_1,1,0,0,0.9949554800987244,0.9949554800987244,1,149,0,True
qwen3_4b,dev,20143913,generation_2,1,0,0,0.9960505366325378,0.9960505366325378,1,184,0,True
qwen3_4b,dev,20143913,generation_3,1,0,0,0.9931868314743042,0.9931868314743042,1,159,0,True
qwen3_4b,dev,20195852,generation_1,6,0,3,0.0345264784991741,0.46010093949735165,6,244,0,False
qwen3_4b,dev,20195852,generation_2,6,0,1,0.0473038479685783,0.809079526613156,6,208,0,False
qwen3_4b,dev,20195852,generation_3,6,0,3,0.0396902784705162,0.5104277258117994,6,178,0,False
qwen3_4b,dev,20540798,generation_1,5,0,1,0.002513188868761,0.7914532221853733,5,137,0,False
qwen3_4b,dev,20540798,generation_2,5,0,2,0.0002442372497171,0.5914542057493236,5,196,0,False
qwen3_4b,dev,20540798,generation_3,5,0,1,0.0003536675940267,0.7915800280286931,5,173,0,False
qwen3_4b,dev,20621845,generation_1,10,0,5,0.0001926352124428,0.5354419884257368,10,170,1,False
qwen3_4b,dev,20621845,generation_2,10,0,4,0.000183513489901,0.546220212879416,10,175,1,False
qwen3_4b,dev,20621845,generation_3,10,0,6,0.0001763381296768,0.40026503490371396,10,166,1,False
qwen3_4b,dev,20682662,generation_1,2,0,1,0.0020031274762004,0.49736490554641927,2,160,0,False
qwen3_4b,dev,20682662,generation_2,2,0,1,0.0017532736528664,0.49779659660998726,2,161,0,False
qwen3_4b,dev,20682662,generation_3,2,0,1,0.0023320007603615,0.4971777343889698,2,139,0,False
qwen3_4b,dev,20801540,generation_1,16,2,7,0.0032929510343819,0.5193210171128158,16,164,2,False
qwen3_4b,dev,20801540,generation_2,16,2,8,0.0017343319486826,0.4753028849227121,16,197,2,False
qwen3_4b,dev,20801540,generation_3,16,2,6,0.0030110005754977,0.5913843006856041,16,138,2,False
qwen3_4b,dev,20859899,generation_1,17,4,8,0.0003846668696496,0.31717887247727683,17,182,2,False
qwen3_4b,dev,20859899,generation_2,17,4,9,0.0012279861839488,0.34730521847000895,17,261,2,False
qwen3_4b,dev,20859899,generation_3,17,4,10,0.0011669918894767,0.2774360438617056,17,275,2,False
qwen3_4b,dev,20959502,generation_1,17,3,4,0.0003150116826873,0.5636059494521332,17,206,2,False
qwen3_4b,dev,20959502,generation_2,17,3,3,0.0003844899474643,0.6265931484453818,17,253,2,False
qwen3_4b,dev,20959502,generation_3,17,3,4,0.0002771058061625,0.561105550842031,17,200,2,False
qwen3_4b,dev,21042587,generation_1,22,1,9,0.0003485583874862,0.6095978946369459,22,209,2,False
qwen3_4b,dev,21042587,generation_2,22,1,6,0.0057741361670196,0.6942265227818015,22,232,2,False
qwen3_4b,dev,21042587,generation_3,22,1,6,0.0006269893492572,0.7097333944852422,22,249,2,False
qwen3_4b,dev,21054465,generation_1,2,0,0,0.9872654676437378,0.9906072616577148,2,167,0,True
qwen3_4b,dev,21054465,generation_2,2,0,0,0.9841289520263672,0.9889144897460938,2,152,0,True
qwen3_4b,dev,21054465,generation_3,2,0,0,0.9814131259918212,0.9866288006305695,2,180,0,True
qwen3_4b,dev,21130517,generation_1,6,0,0,0.8825627565383911,0.9722671409447988,6,160,0,True
qwen3_4b,dev,21130517,generation_2,6,0,0,0.9607312083244324,0.9862850705782572,6,171,0,True
qwen3_4b,dev,21130517,generation_3,6,0,1,0.3768903613090515,0.8736754159132639,6,168,0,False
qwen3_4b,dev,21799811,generation_1,4,0,0,0.846272349357605,0.9397936761379242,4,133,0,True
qwen3_4b,dev,21799811,generation_2,4,0,0,0.9750017523765564,0.9890061318874359,4,137,0,True
qwen3_4b,dev,21799811,generation_3,4,0,0,0.9719288349151612,0.9869817942380905,4,154,0,True
qwen3_4b,dev,21903317,generation_1,6,0,2,0.1037597507238388,0.7165000935395559,6,141,0,False
qwen3_4b,dev,21903317,generation_2,6,0,2,0.0426398925483226,0.6790530737489462,6,157,0,False
qwen3_4b,dev,21903317,generation_3,6,0,2,0.0524793490767478,0.6868845261633396,6,162,0,False
qwen3_4b,dev,22711886,generation_1,15,0,7,0.0002621368330437,0.501999968290329,15,234,2,False
qwen3_4b,dev,22711886,generation_2,15,0,8,0.0002397679927526,0.45396382416850733,15,224,2,False
qwen3_4b,dev,22711886,generation_3,15,0,10,0.0002748993283603,0.3425439549047344,15,247,2,False
qwen3_4b,dev,23285048,generation_1,16,0,7,0.002151324879378,0.5542684902611654,16,175,2,False
qwen3_4b,dev,23285048,generation_2,16,0,2,0.0119247660040855,0.8127266752999276,16,195,2,True
qwen3_4b,dev,23285048,generation_3,16,0,5,0.0063173691742122,0.6761308127024677,16,169,2,False
qwen3_4b,dev,23651211,generation_1,42,0,26,0.0002034362842096,0.37438908046758673,42,241,2,False
qwen3_4b,dev,23651211,generation_2,42,0,27,0.0002385828702244,0.36443927786396146,42,179,2,False
qwen3_4b,dev,23651211,generation_3,42,0,26,0.0002053330099442,0.36431716152479304,42,210,2,False
qwen3_4b,dev,23872883,generation_1,17,0,0,0.9249348640441896,0.9710555041537565,17,180,2,True
qwen3_4b,dev,23872883,generation_2,17,0,1,0.3304682075977325,0.9395440904533162,17,374,2,True
qwen3_4b,dev,23872883,generation_3,17,0,0,0.9340892434120178,0.9781357400557574,17,165,2,True
qwen3_4b,dev,24014394,generation_1,16,0,5,0.0001978943619178,0.6824967138709326,16,213,2,False
qwen3_4b,dev,24014394,generation_2,16,0,5,0.0001911928993649,0.6798598728000798,16,255,2,False
qwen3_4b,dev,24014394,generation_3,16,0,4,0.0009070133673958,0.7481253837577242,16,222,2,False
qwen3_4b,dev,24036311,generation_1,19,3,14,0.0001998150255531,0.19957570941187436,19,200,2,False
qwen3_4b,dev,24036311,generation_2,19,3,13,0.0001908886915771,0.207778193784945,19,237,2,False
qwen3_4b,dev,24036311,generation_3,19,3,10,0.0001852669229265,0.38568539526252266,19,193,2,False
qwen3_4b,dev,24288432,generation_1,20,10,3,0.0002255846920888,0.46251172212432723,20,216,2,False
qwen3_4b,dev,24288432,generation_2,20,10,3,0.00019503859221,0.4772475345118437,20,205,2,False
qwen3_4b,dev,24288432,generation_3,20,10,3,0.000224398827413,0.44193608236091675,20,233,2,False
qwen3_4b,dev,24333387,generation_1,16,0,4,0.0400954969227314,0.7810502990614623,16,164,2,False
qwen3_4b,dev,24333387,generation_2,16,0,3,0.0011830701259896,0.794799770177633,16,222,2,False
qwen3_4b,dev,24333387,generation_3,16,0,3,0.0001862106873886,0.7816197507245306,16,230,2,False
qwen3_4b,dev,24438483,generation_1,13,1,2,0.000505884818267,0.6961999477845473,13,226,2,True
qwen3_4b,dev,24438483,generation_2,13,1,8,0.0004234586376696,0.322611377081977,13,232,2,False
qwen3_4b,dev,24438483,generation_3,13,1,5,0.0005027138977311,0.512195455980523,13,191,2,False
qwen3_4b,dev,25080425,generation_1,12,0,4,0.0003889687359333,0.6766133882726232,12,217,1,False
qwen3_4b,dev,25080425,generation_2,12,0,4,0.0004850545665249,0.6743841709394474,12,167,1,False
qwen3_4b,dev,25080425,generation_3,12,0,4,0.0006355712539516,0.6650703255581902,12,142,1,False
qwen3_4b,dev,25119790,generation_1,17,0,7,0.0002695803996175,0.5854376716169474,17,226,2,False
qwen3_4b,dev,25119790,generation_2,17,0,11,0.000261969922576,0.3891179545590764,17,261,2,False
qwen3_4b,dev,25119790,generation_3,17,0,10,0.0004862275673076,0.45740979388082287,17,206,2,False
qwen3_4b,dev,25550469,generation_1,13,1,8,0.0004140168603044,0.3778427430728558,13,241,2,False
qwen3_4b,dev,25550469,generation_2,13,1,7,0.0003415450337342,0.41892902553529254,13,238,2,False
qwen3_4b,dev,25550469,generation_3,13,1,8,0.000307702604914,0.36630941162897773,13,129,2,False
qwen3_4b,dev,25589620,generation_1,9,0,5,0.0036488252226263,0.4830716232924412,9,218,1,False
qwen3_4b,dev,25589620,generation_2,9,0,2,0.0024294077884405,0.7599884065437235,9,230,1,False
qwen3_4b,dev,25589620,generation_3,9,0,3,0.0130525836721062,0.6889519154404601,9,227,1,False
qwen3_4b,dev,26684240,generation_1,51,0,15,0.0002768749836832,0.7168108692070853,51,238,2,False
qwen3_4b,dev,26684240,generation_2,51,0,6,0.0003281553508713,0.8810753544778837,51,235,2,False
qwen3_4b,dev,26684240,generation_3,51,0,7,0.0003925625933334,0.8511077632577451,51,234,2,False
qwen3_4b,dev,27090298,generation_1,7,0,5,0.0057535846717655,0.2969225946414683,7,212,0,False
qwen3_4b,dev,27090298,generation_2,7,0,4,0.0049597290344536,0.47235522851614015,7,157,0,False
qwen3_4b,dev,27090298,generation_3,7,0,4,0.0089480765163898,0.4211970711393015,7,161,0,False
qwen3_4b,dev,27103577,generation_1,7,0,6,0.0011743238428607,0.1926340042513662,7,222,0,False
qwen3_4b,dev,27103577,generation_2,7,0,3,0.0002022468543145,0.5198642126425901,7,185,0,False
qwen3_4b,dev,27103577,generation_3,7,0,6,0.0012238642666488,0.16093276421140343,7,205,0,False
qwen3_4b,dev,27491646,generation_1,15,0,7,0.0001811474066926,0.5190187933951771,15,239,2,False
qwen3_4b,dev,27491646,generation_2,15,0,5,0.000181365336175,0.6623483269979867,15,308,2,False
qwen3_4b,dev,27491646,generation_3,15,0,6,0.0001820528559619,0.6095666730262261,15,276,2,False
qwen3_4b,dev,27509880,generation_1,17,1,12,0.0002275533188367,0.22667207966835973,17,241,2,False
qwen3_4b,dev,27509880,generation_2,17,1,13,0.0029936900828033,0.2230835428653175,17,279,2,False
qwen3_4b,dev,27509880,generation_3,17,1,11,0.0001865849772002,0.3101958218706867,17,252,2,False
qwen3_4b,dev,27663860,generation_1,8,0,3,0.0015674827154725,0.6047517363622319,8,176,0,False
qwen3_4b,dev,27663860,generation_2,8,0,2,0.0005065475706942,0.7260638900697813,8,197,0,False
qwen3_4b,dev,27663860,generation_3,8,0,5,0.0003453136014286,0.4309465211881615,8,186,0,False
qwen3_4b,dev,27707793,generation_1,5,0,3,0.0150839164853096,0.4723228618502617,5,171,0,False
qwen3_4b,dev,27707793,generation_2,5,0,3,0.0010920556960627,0.4813492733286694,5,133,0,False
qwen3_4b,dev,27707793,generation_3,5,0,2,0.0023419421631842,0.5928538823965936,5,168,0,False
qwen3_4b,dev,27729412,generation_1,15,0,14,0.0002031132025877,0.08112360674907294,15,204,2,False
qwen3_4b,dev,27729412,generation_2,15,0,14,0.0002338489139219,0.08356510380690448,15,196,2,False
qwen3_4b,dev,27729412,generation_3,15,0,13,0.0002450998872518,0.1384713327007678,15,169,2,False
qwen3_4b,dev,27807193,generation_1,8,0,2,0.0004404368228279,0.7371317645302042,8,265,0,False
qwen3_4b,dev,27807193,generation_2,8,0,2,0.0023515420034527,0.739279059576802,8,225,0,False
qwen3_4b,dev,27807193,generation_3,8,0,2,0.0002968625340145,0.7379463844772545,8,153,0,False
qwen3_4b,dev,27840894,generation_1,2,0,1,0.0023247790522873,0.49867654801346367,2,158,0,False
qwen3_4b,dev,27840894,generation_2,2,0,1,0.0021579323802143,0.49864346079994,2,147,0,False
qwen3_4b,dev,27840894,generation_3,2,0,1,0.0052960235625505,0.5000119665637612,2,140,0,False
