model,split,paper_id,generation,failed_stated,n_stated,failed_implicit,n_implicit,failed_total,keep_stated_only,keep_norel_aware
qwen3_4b,dev,16152606,generation_2,0,4,0,6,0,True,True
qwen3_4b,dev,16152606,generation_3,0,4,0,6,0,True,True
qwen3_4b,dev,16181814,generation_1,0,3,0,3,0,True,True
qwen3_4b,dev,16181814,generation_2,1,3,0,3,1,False,False
qwen3_4b,dev,16181814,generation_3,0,3,0,3,0,True,True
qwen3_4b,dev,16225977,generation_1,0,8,14,36,14,True,False
qwen3_4b,dev,16225977,generation_2,0,8,14,36,14,True,False
qwen3_4b,dev,16225977,generation_3,0,8,12,36,12,True,False
qwen3_4b,dev,16277682,generation_1,1,4,0,2,1,False,False
qwen3_4b,dev,16277682,generation_2,1,4,0,2,1,False,False
qwen3_4b,dev,16277682,generation_3,1,4,0,2,1,False,False
qwen3_4b,dev,16419642,generation_1,2,4,3,11,5,False,False
qwen3_4b,dev,16419642,generation_2,1,4,4,11,5,False,False
qwen3_4b,dev,16419642,generation_3,2,4,4,11,6,False,False
qwen3_4b,dev,16565833,generation_1,2,9,3,6,5,False,False
qwen3_4b,dev,16565833,generation_2,2,9,3,6,5,False,False
qwen3_4b,dev,16565833,generation_3,1,9,3,6,4,False,False
qwen3_4b,dev,16611040,generation_1,0,1,0,0,0,True,True
qwen3_4b,dev,16611040,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,16611040,generation_3,0,1,0,0,0,True,True
qwen3_4b,dev,16680561,generation_1,1,5,3,4,4,False,False
qwen3_4b,dev,16680561,generation_2,1,5,2,4,3,False,False
qwen3_4b,dev,16680561,generation_3,1,5,2,4,3,False,False
qwen3_4b,dev,1671881,generation_1,2,6,0,4,2,False,False
qwen3_4b,dev,1671881,generation_2,2,6,0,4,2,False,False
qwen3_4b,dev,1671881,generation_3,2,6,0,4,2,False,False
qwen3_4b,dev,16838170,generation_1,8,14,5,31,13,False,False
qwen3_4b,dev,16838170,generation_2,10,14,9,31,19,False,False
qwen3_4b,dev,16838170,generation_3,10,14,7,31,17,False,False
qwen3_4b,dev,16867021,generation_1,5,12,14,43,19,False,False
qwen3_4b,dev,16867021,generation_2,4,12,12,43,16,False,False
qwen3_4b,dev,16867021,generation_3,4,12,14,43,18,False,False
qwen3_4b,dev,16867246,generation_1,1,6,2,4,3,False,False
qwen3_4b,dev,16867246,generation_2,2,6,2,4,4,False,False
qwen3_4b,dev,16867246,generation_3,0,6,2,4,2,True,False
qwen3_4b,dev,17033974,generation_1,1,6,6,9,7,False,False
qwen3_4b,dev,17033974,generation_2,1,6,6,9,7,False,False
qwen3_4b,dev,17033974,generation_3,1,6,6,9,7,False,False
qwen3_4b,dev,17042884,generation_1,2,5,1,5,3,False,False
qwen3_4b,dev,17042884,generation_2,0,5,1,5,1,True,False
qwen3_4b,dev,17042884,generation_3,0,5,1,5,1,True,False
qwen3_4b,dev,17151160,generation_1,2,8,0,6,2,False,False
qwen3_4b,dev,17151160,generation_2,7,8,0,6,7,False,False
qwen3_4b,dev,17151160,generation_3,3,8,0,6,3,False,False
qwen3_4b,dev,17255138,generation_1,16,18,6,24,22,False,False
qwen3_4b,dev,17255138,generation_2,16,18,5,24,21,False,False
qwen3_4b,dev,17255138,generation_3,17,18,6,24,23,False,False
qwen3_4b,dev,17297207,generation_1,6,8,10,28,16,False,False
qwen3_4b,dev,17297207,generation_2,5,8,10,28,15,False,False
qwen3_4b,dev,17297207,generation_3,7,8,9,28,16,False,False
qwen3_4b,dev,17345627,generation_1,8,16,4,29,12,False,False
qwen3_4b,dev,17345627,generation_2,8,16,4,29,12,False,False
qwen3_4b,dev,17345627,generation_3,8,16,4,29,12,False,False
qwen3_4b,dev,17384765,generation_1,6,9,0,12,6,False,False
qwen3_4b,dev,17384765,generation_2,6,9,0,12,6,False,False
qwen3_4b,dev,17384765,generation_3,5,9,0,12,5,False,False
qwen3_4b,dev,17395743,generation_1,2,7,2,8,4,False,False
qwen3_4b,dev,17395743,generation_2,4,7,0,8,4,False,False
qwen3_4b,dev,17395743,generation_3,4,7,2,8,6,False,False
qwen3_4b,dev,17397547,generation_1,54,66,34,399,88,False,False
qwen3_4b,dev,17397547,generation_2,38,66,20,399,58,False,False
qwen3_4b,dev,17397547,generation_3,22,66,23,399,45,False,False
qwen3_4b,dev,17445520,generation_1,2,2,0,1,2,False,False
qwen3_4b,dev,17445520,generation_2,2,2,0,1,2,False,False
qwen3_4b,dev,17445520,generation_3,2,2,0,1,2,False,False
qwen3_4b,dev,17549393,generation_1,0,1,1,1,1,True,False
qwen3_4b,dev,17549393,generation_2,0,1,1,1,1,True,False
qwen3_4b,dev,17549393,generation_3,0,1,1,1,1,True,False
qwen3_4b,dev,17600377,generation_1,6,13,32,53,38,False,False
qwen3_4b,dev,17600377,generation_2,7,13,37,53,44,False,False
qwen3_4b,dev,17600377,generation_3,6,13,34,53,40,False,False
qwen3_4b,dev,17608141,generation_1,8,11,4,17,12,False,False
qwen3_4b,dev,17608141,generation_2,6,11,1,17,7,False,False
qwen3_4b,dev,17608141,generation_3,8,11,7,17,15,False,False
qwen3_4b,dev,17671735,generation_1,0,2,0,1,0,True,True
qwen3_4b,dev,17671735,generation_2,0,2,0,1,0,True,True
qwen3_4b,dev,17671735,generation_3,0,2,0,1,0,True,True
qwen3_4b,dev,17943461,generation_1,5,19,6,26,11,False,False
qwen3_4b,dev,17943461,generation_2,5,19,8,26,13,False,False
qwen3_4b,dev,17943461,generation_3,2,19,8,26,10,False,False
qwen3_4b,dev,17962394,generation_1,0,2,0,1,0,True,True
qwen3_4b,dev,17962394,generation_2,0,2,0,1,0,True,True
qwen3_4b,dev,17962394,generation_3,0,2,0,1,0,True,True
qwen3_4b,dev,17968299,generation_1,0,1,0,0,0,True,True
qwen3_4b,dev,17968299,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,17968299,generation_3,0,1,0,0,0,True,True
qwen3_4b,dev,18046082,generation_1,0,1,0,1,0,True,True
qwen3_4b,dev,18046082,generation_2,0,1,0,1,0,True,True
qwen3_4b,dev,18046082,generation_3,0,1,0,1,0,True,True
qwen3_4b,dev,18162529,generation_1,8,21,26,57,34,False,False
qwen3_4b,dev,18162529,generation_2,8,21,22,57,30,False,False
qwen3_4b,dev,18162529,generation_3,9,21,28,57,37,False,False
qwen3_4b,dev,18308784,generation_1,4,6,4,4,8,False,False
qwen3_4b,dev,18308784,generation_2,3,6,4,4,7,False,False
qwen3_4b,dev,18308784,generation_3,4,6,4,4,8,False,False
qwen3_4b,dev,18385794,generation_1,6,14,1,14,7,False,False
qwen3_4b,dev,18385794,generation_2,5,14,1,14,6,False,False
qwen3_4b,dev,18385794,generation_3,8,14,1,14,9,False,False
qwen3_4b,dev,18951540,generation_1,0,1,0,0,0,True,True
qwen3_4b,dev,18951540,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,18951540,generation_3,0,1,0,0,0,True,True
qwen3_4b,dev,19300402,generation_1,24,36,55,135,79,False,False
qwen3_4b,dev,19300402,generation_2,23,36,41,135,64,False,False
qwen3_4b,dev,19300402,generation_3,24,36,46,135,70,False,False
qwen3_4b,dev,19759529,generation_1,6,15,36,51,42,False,False
qwen3_4b,dev,19759529,generation_2,6,15,35,51,41,False,False
qwen3_4b,dev,19759529,generation_3,5,15,34,51,39,False,False
qwen3_4b,dev,19880293,generation_1,0,2,0,1,0,True,True
qwen3_4b,dev,19880293,generation_2,0,2,0,1,0,True,True
qwen3_4b,dev,19880293,generation_3,0,2,0,1,0,True,True
qwen3_4b,dev,19914299,generation_1,0,4,1,2,1,True,False
qwen3_4b,dev,19914299,generation_2,0,4,1,2,1,True,False
qwen3_4b,dev,19914299,generation_3,0,4,2,2,2,True,False
qwen3_4b,dev,20126413,generation_1,0,1,0,0,0,True,True
qwen3_4b,dev,20126413,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,20126413,generation_3,0,1,0,0,0,True,True
qwen3_4b,dev,20143913,generation_1,0,1,0,0,0,True,True
qwen3_4b,dev,20143913,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,20143913,generation_3,0,1,0,0,0,True,True
qwen3_4b,dev,20195852,generation_1,3,6,1,9,4,False,False
qwen3_4b,dev,20195852,generation_2,1,6,1,9,2,False,False
qwen3_4b,dev,20195852,generation_3,3,6,1,9,4,False,False
qwen3_4b,dev,20540798,generation_1,1,5,0,5,1,False,False
qwen3_4b,dev,20540798,generation_2,2,5,0,5,2,False,False
qwen3_4b,dev,20540798,generation_3,1,5,0,5,1,False,False
qwen3_4b,dev,20621845,generation_1,5,10,4,11,9,False,False
qwen3_4b,dev,20621845,generation_2,4,10,3,11,7,False,False
qwen3_4b,dev,20621845,generation_3,6,10,4,11,10,False,False
qwen3_4b,dev,20682662,generation_1,1,2,0,1,1,False,False
qwen3_4b,dev,20682662,generation_2,1,2,0,1,1,False,False
qwen3_4b,dev,20682662,generation_3,1,2,0,1,1,False,False
qwen3_4b,dev,20801540,generation_1,7,14,19,39,26,False,False
qwen3_4b,dev,20801540,generation_2,8,14,16,39,24,False,False
qwen3_4b,dev,20801540,generation_3,6,14,14,39,20,False,False
qwen3_4b,dev,20859899,generation_1,8,13,12,28,20,False,False
qwen3_4b,dev,20859899,generation_2,9,13,13,28,22,False,False
qwen3_4b,dev,20859899,generation_3,10,13,14,28,24,False,False
qwen3_4b,dev,20959502,generation_1,4,14,31,74,35,False,False
qwen3_4b,dev,20959502,generation_2,3,14,34,74,37,False,False
qwen3_4b,dev,20959502,generation_3,4,14,31,74,35,False,False
qwen3_4b,dev,21042587,generation_1,9,21,44,98,53,False,False
qwen3_4b,dev,21042587,generation_2,6,21,58,98,64,False,False
qwen3_4b,dev,21042587,generation_3,6,21,46,98,52,False,False
qwen3_4b,dev,21054465,generation_1,0,2,1,1,1,True,False
qwen3_4b,dev,21054465,generation_2,0,2,1,1,1,True,False
qwen3_4b,dev,21054465,generation_3,0,2,1,1,1,True,False
qwen3_4b,dev,21130517,generation_1,0,6,2,4,2,True,False
qwen3_4b,dev,21130517,generation_2,0,6,2,4,2,True,False
qwen3_4b,dev,21130517,generation_3,1,6,2,4,3,False,False
qwen3_4b,dev,21799811,generation_1,0,4,2,6,2,True,False
qwen3_4b,dev,21799811,generation_2,0,4,3,6,3,True,False
qwen3_4b,dev,21799811,generation_3,0,4,3,6,3,True,False
qwen3_4b,dev,21903317,generation_1,2,6,7,22,9,False,False
qwen3_4b,dev,21903317,generation_2,2,6,8,22,10,False,False
qwen3_4b,dev,21903317,generation_3,2,6,7,22,9,False,False
qwen3_4b,dev,22711886,generation_1,7,15,13,30,20,False,False
qwen3_4b,dev,22711886,generation_2,8,15,10,30,18,False,False
qwen3_4b,dev,22711886,generation_3,10,15,16,30,26,False,False
qwen3_4b,dev,23285048,generation_1,7,16,2,120,9,False,False
qwen3_4b,dev,23285048,generation_2,2,16,5,120,7,False,False
qwen3_4b,dev,23285048,generation_3,5,16,7,120,12,False,False
qwen3_4b,dev,23651211,generation_1,26,42,12,168,38,False,False
qwen3_4b,dev,23651211,generation_2,27,42,19,168,46,False,False
qwen3_4b,dev,23651211,generation_3,26,42,12,168,38,False,False
qwen3_4b,dev,23872883,generation_1,0,17,7,103,7,True,False
qwen3_4b,dev,23872883,generation_2,1,17,6,103,7,False,False
qwen3_4b,dev,23872883,generation_3,0,17,6,103,6,True,False
qwen3_4b,dev,24014394,generation_1,5,16,19,39,24,False,False
qwen3_4b,dev,24014394,generation_2,5,16,16,39,21,False,False
qwen3_4b,dev,24014394,generation_3,4,16,18,39,22,False,False
qwen3_4b,dev,24036311,generation_1,14,16,7,118,21,False,False
qwen3_4b,dev,24036311,generation_2,13,16,2,118,15,False,False
qwen3_4b,dev,24036311,generation_3,10,16,3,118,13,False,False
qwen3_4b,dev,24288432,generation_1,3,10,16,58,19,False,False
qwen3_4b,dev,24288432,generation_2,3,10,12,58,15,False,False
qwen3_4b,dev,24288432,generation_3,3,10,8,58,11,False,False
qwen3_4b,dev,24333387,generation_1,4,16,16,89,20,False,False
qwen3_4b,dev,24333387,generation_2,3,16,7,89,10,False,False
qwen3_4b,dev,24333387,generation_3,3,16,16,89,19,False,False
qwen3_4b,dev,24438483,generation_1,2,12,3,8,5,False,False
qwen3_4b,dev,24438483,generation_2,8,12,3,8,11,False,False
qwen3_4b,dev,24438483,generation_3,5,12,4,8,9,False,False
qwen3_4b,dev,25080425,generation_1,4,12,5,16,9,False,False
qwen3_4b,dev,25080425,generation_2,4,12,3,16,7,False,False
qwen3_4b,dev,25080425,generation_3,4,12,2,16,6,False,False
qwen3_4b,dev,25119790,generation_1,7,17,6,49,13,False,False
qwen3_4b,dev,25119790,generation_2,11,17,4,49,15,False,False
qwen3_4b,dev,25119790,generation_3,10,17,7,49,17,False,False
qwen3_4b,dev,25550469,generation_1,8,12,15,32,23,False,False
qwen3_4b,dev,25550469,generation_2,7,12,10,32,17,False,False
qwen3_4b,dev,25550469,generation_3,8,12,12,32,20,False,False
qwen3_4b,dev,25589620,generation_1,5,9,8,27,13,False,False
qwen3_4b,dev,25589620,generation_2,2,9,8,27,10,False,False
qwen3_4b,dev,25589620,generation_3,3,9,7,27,10,False,False
qwen3_4b,dev,26684240,generation_1,15,51,42,300,57,False,False
qwen3_4b,dev,26684240,generation_2,6,51,38,300,44,False,False
qwen3_4b,dev,26684240,generation_3,7,51,32,300,39,False,False
qwen3_4b,dev,27090298,generation_1,5,7,6,29,11,False,False
qwen3_4b,dev,27090298,generation_2,4,7,2,29,6,False,False
qwen3_4b,dev,27090298,generation_3,4,7,7,29,11,False,False
qwen3_4b,dev,27103577,generation_1,6,7,1,3,7,False,False
qwen3_4b,dev,27103577,generation_2,3,7,2,3,5,False,False
qwen3_4b,dev,27103577,generation_3,6,7,1,3,7,False,False
qwen3_4b,dev,27491646,generation_1,7,15,27,105,34,False,False
qwen3_4b,dev,27491646,generation_2,5,15,25,105,30,False,False
qwen3_4b,dev,27491646,generation_3,6,15,15,105,21,False,False
qwen3_4b,dev,27509880,generation_1,12,16,17,49,29,False,False
qwen3_4b,dev,27509880,generation_2,13,16,15,49,28,False,False
qwen3_4b,dev,27509880,generation_3,11,16,14,49,25,False,False
qwen3_4b,dev,27663860,generation_1,3,8,4,7,7,False,False
qwen3_4b,dev,27663860,generation_2,2,8,5,7,7,False,False
qwen3_4b,dev,27663860,generation_3,5,8,5,7,10,False,False
qwen3_4b,dev,27707793,generation_1,3,5,3,10,6,False,False
qwen3_4b,dev,27707793,generation_2,3,5,3,10,6,False,False
qwen3_4b,dev,27707793,generation_3,2,5,4,10,6,False,False
qwen3_4b,dev,27729412,generation_1,14,15,7,13,21,False,False
qwen3_4b,dev,27729412,generation_2,14,15,10,13,24,False,False
qwen3_4b,dev,27729412,generation_3,13,15,9,13,22,False,False
qwen3_4b,dev,27807193,generation_1,2,8,4,37,6,False,False
qwen3_4b,dev,27807193,generation_2,2,8,9,37,11,False,False
qwen3_4b,dev,27807193,generation_3,2,8,7,37,9,False,False
qwen3_4b,dev,27840894,generation_1,1,2,0,1,1,False,False
qwen3_4b,dev,27840894,generation_2,1,2,0,1,1,False,False
qwen3_4b,dev,27840894,generation_3,1,2,0,1,1,False,False
qwen3_4b,dev,27860185,generation_1,2,8,9,28,11,False,False
qwen3_4b,dev,27860185,generation_2,3,8,11,28,14,False,False
qwen3_4b,dev,27860185,generation_3,2,8,8,28,10,False,False
qwen3_4b,dev,27866394,generation_1,15,19,24,101,39,False,False
qwen3_4b,dev,27866394,generation_2,16,19,11,101,27,False,False
qwen3_4b,dev,27866394,generation_3,16,19,15,101,31,False,False
qwen3_4b,dev,28259923,generation_1,2,12,7,24,9,False,False
qwen3_4b,dev,28259923,generation_2,2,12,12,24,14,False,False
qwen3_4b,dev,28259923,generation_3,2,12,5,24,7,False,False
qwen3_4b,dev,28393239,generation_1,3,7,1,8,4,False,False
qwen3_4b,dev,28393239,generation_2,3,7,1,8,4,False,False
qwen3_4b,dev,28393239,generation_3,3,7,2,8,5,False,False
qwen3_4b,dev,28518143,generation_1,22,31,24,74,46,False,False
qwen3_4b,dev,28518143,generation_2,20,31,15,74,35,False,False
qwen3_4b,dev,28518143,generation_3,23,31,17,74,40,False,False
qwen3_4b,dev,29049388,generation_1,2,9,4,12,6,False,False
qwen3_4b,dev,29049388,generation_2,3,9,4,12,7,False,False
qwen3_4b,dev,29049388,generation_3,2,9,4,12,6,False,False
qwen3_4b,dev,29183288,generation_1,26,33,34,157,60,False,False
qwen3_4b,dev,29183288,generation_2,26,33,30,157,56,False,False
qwen3_4b,dev,29183288,generation_3,18,33,33,157,51,False,False
qwen3_4b,dev,6086495,generation_1,1,1,0,0,1,False,False
qwen3_4b,dev,6086495,generation_2,0,1,0,0,0,True,True
qwen3_4b,dev,6086495,generation_3,1,1,0,0,1,False,False
qwen3_4b,dev,7811247,generation_1,2,4,0,0,2,False,False
qwen3_4b,dev,7811247,generation_2,2,4,0,0,2,False,False
qwen3_4b,dev,7811247,generation_3,3,4,0,0,3,False,False
qwen3_4b,test,15000256,generation_1,0,6,0,4,0,True,True
qwen3_4b,test,15000256,generation_2,1,6,0,4,1,False,False
qwen3_4b,test,15000256,generation_3,1,6,0,4,1,False,False
qwen3_4b,test,15036754,generation_1,13,19,23,95,36,False,False
qwen3_4b,test,15036754,generation_2,11,19,20,95,31,False,False
qwen3_4b,test,15036754,generation_3,11,19,29,95,40,False,False
qwen3_4b,test,15111599,generation_1,0,2,0,1,0,True,True
qwen3_4b,test,15111599,generation_2,0,2,0,1,0,True,True
qwen3_4b,test,15111599,generation_3,0,2,0,1,0,True,True
qwen3_4b,test,15130900,generation_1,1,2,0,1,1,False,False
qwen3_4b,test,15130900,generation_2,1,2,0,1,1,False,False
qwen3_4b,test,15130900,generation_3,1,2,0,1,1,False,False
qwen3_4b,test,15233872,generation_1,3,7,3,8,6,False,False
qwen3_4b,test,15233872,generation_2,3,7,2,8,5,False,False
qwen3_4b,test,15233872,generation_3,3,7,2,8,5,False,False
qwen3_4b,test,15459975,generation_1,0,1,0,0,0,True,True
qwen3_4b,test,15459975,generation_2,0,1,0,0,0,True,True
qwen3_4b,test,15459975,generation_3,0,1,0,0,0,True,True
qwen3_4b,test,15464247,generation_1,0,1,0,0,0,True,True
qwen3_4b,test,15464247,generation_2,0,1,0,0,0,True,True
qwen3_4b,test,15464247,generation_3,0,1,0,0,0,True,True
qwen3_4b,test,15485686,generation_1,3,12,6,24,9,False,False
qwen3_4b,test,15485686,generation_2,1,12,7,24,8,False,False
qwen3_4b,test,15485686,generation_3,0,12,6,24,6,True,False
qwen3_4b,test,15668505,generation_1,2,6,0,4,2,False,False
qwen3_4b,test,15668505,generation_2,2,6,0,4,2,False,False
qwen3_4b,test,15668505,generation_3,2,6,0,4,2,False,False
qwen3_4b,test,15673851,generation_1,5,12,11,16,16,False,False
qwen3_4b,test,15673851,generation_2,4,12,11,16,15,False,False
qwen3_4b,test,15673851,generation_3,5,12,11,16,16,False,False
qwen3_4b,test,15811908,generation_1,13,15,8,19,21,False,False
qwen3_4b,test,15811908,generation_2,10,15,8,19,18,False,False
qwen3_4b,test,15811908,generation_3,8,15,5,19,13,False,False
qwen3_4b,test,15818664,generation_1,2,4,1,2,3,False,False
qwen3_4b,test,15818664,generation_2,1,4,1,2,2,False,False
qwen3_4b,test,15818664,generation_3,1,4,1,2,2,False,False
qwen3_4b,test,15820770,generation_1,5,6,4,9,9,False,False
qwen3_4b,test,15820770,generation_2,6,6,4,9,10,False,False
qwen3_4b,test,15820770,generation_3,3,6,6,9,9,False,False
qwen3_4b,test,15824163,generation_1,0,1,0,0,0,True,True
qwen3_4b,test,15824163,generation_2,0,1,0,0,0,True,True
qwen3_4b,test,15824163,generation_3,0,1,0,0,0,True,True
qwen3_4b,test,15987266,generation_1,4,5,2,5,6,False,False
qwen3_4b,test,15987266,generation_2,4,5,2,5,6,False,False
qwen3_4b,test,15987266,generation_3,4,5,2,5,6,False,False
qwen3_4b,test,16046395,generation_1,1,3,1,3,2,False,False
qwen3_4b,test,16046395,generation_2,1,3,0,3,1,False,False
qwen3_4b,test,16046395,generation_3,1,3,1,3,2,False,False
qwen3_4b,test,16112787,generation_1,5,15,9,40,14,False,False
qwen3_4b,test,16112787,generation_2,6,15,9,40,15,False,False
qwen3_4b,test,16112787,generation_3,5,15,9,40,14,False,False
qwen3_4b,test,16116131,generation_1,0,2,0,1,0,True,True
qwen3_4b,test,16116131,generation_2,0,2,0,1,0,True,True
qwen3_4b,test,16116131,generation_3,0,2,1,1,1,True,False
qwen3_4b,test,16186368,generation_1,2,3,0,3,2,False,False
qwen3_4b,test,16186368,generation_2,2,3,0,3,2,False,False
qwen3_4b,test,16186368,generation_3,2,3,0,3,2,False,False
qwen3_4b,test,16252083,generation_1,3,6,3,9,6,False,False
qwen3_4b,test,16252083,generation_2,3,6,3,9,6,False,False
qwen3_4b,test,16252083,generation_3,3,6,3,9,6,False,False
qwen3_4b,test,16330669,generation_1,0,7,12,29,12,True,False
qwen3_4b,test,16330669,generation_2,0,7,10,29,10,True,False
qwen3_4b,test,16330669,generation_3,0,7,7,29,7,True,False
qwen3_4b,test,16428827,generation_1,4,9,8,12,12,False,False
qwen3_4b,test,16428827,generation_2,3,9,9,12,12,False,False
qwen3_4b,test,16428827,generation_3,3,9,8,12,11,False,False
qwen3_4b,test,16629641,generation_1,9,13,20,31,29,False,False
qwen3_4b,test,16629641,generation_2,6,13,21,31,27,False,False
qwen3_4b,test,16629641,generation_3,5,13,22,31,27,False,False
qwen3_4b,test,16731636,generation_1,5,11,6,17,11,False,False
qwen3_4b,test,16731636,generation_2,5,11,6,17,11,False,False
qwen3_4b,test,16731636,generation_3,3,11,7,17,10,False,False
qwen3_4b,test,16820346,generation_1,6,7,9,14,15,False,False
qwen3_4b,test,16820346,generation_2,3,7,12,14,15,False,False
qwen3_4b,test,16820346,generation_3,4,7,9,14,13,False,False
qwen3_4b,test,16840830,generation_1,0,1,0,0,0,True,True
qwen3_4b,test,16840830,generation_2,0,1,0,0,0,True,True
qwen3_4b,test,16840830,generation_3,0,1,0,0,0,True,True
qwen3_4b,test,16844102,generation_1,11,24,11,42,22,False,False
qwen3_4b,test,16844102,generation_2,12,24,10,42,22,False,False
qwen3_4b,test,16844102,generation_3,13,24,12,42,25,False,False
qwen3_4b,test,16849419,generation_1,1,3,2,3,3,False,False
qwen3_4b,test,16849419,generation_2,2,3,2,3,4,False,False
qwen3_4b,test,16849419,generation_3,1,3,2,3,3,False,False
qwen3_4b,test,16970763,generation_1,0,3,0,3,0,True,True
qwen3_4b,test,16970763,generation_2,0,3,0,3,0,True,True
qwen3_4b,test,16970763,generation_3,0,3,0,3,0,True,True
qwen3_4b,test,17003923,generation_1,1,15,14,90,15,False,False
qwen3_4b,test,17003923,generation_2,2,15,14,90,16,False,False
qwen3_4b,test,17003923,generation_3,4,15,26,90,30,False,False
qwen3_4b,test,17059986,generation_1,3,6,6,8,9,False,False
qwen3_4b,test,17059986,generation_2,3,6,6,8,9,False,False
qwen3_4b,test,17059986,generation_3,3,6,4,8,7,False,False
qwen3_4b,test,17166870,generation_1,0,3,3,6,3,True,False
qwen3_4b,test,17166870,generation_2,0,3,3,6,3,True,False
qwen3_4b,test,17166870,generation_3,0,3,3,6,3,True,False
qwen3_4b,test,17491223,generation_1,1,2,0,1,1,False,False
qwen3_4b,test,17491223,generation_2,2,2,0,1,2,False,False
qwen3_4b,test,17491223,generation_3,1,2,0,1,1,False,False
qwen3_4b,test,17511042,generation_1,3,6,2,8,5,False,False
qwen3_4b,test,17511042,generation_2,2,6,3,8,5,False,False
qwen3_4b,test,17511042,generation_3,2,6,2,8,4,False,False
qwen3_4b,test,17562951,generation_1,2,5,1,4,3,False,False
qwen3_4b,test,17562951,generation_2,2,5,0,4,2,False,False
qwen3_4b,test,17562951,generation_3,2,5,0,4,2,False,False
qwen3_4b,test,17879945,generation_1,4,10,7,11,11,False,False
qwen3_4b,test,17879945,generation_2,6,10,6,11,12,False,False
qwen3_4b,test,17879945,generation_3,6,10,7,11,13,False,False
qwen3_4b,test,17935240,generation_1,0,1,0,0,0,True,True
qwen3_4b,test,17935240,generation_2,0,1,0,0,0,True,True
qwen3_4b,test,17935240,generation_3,0,1,0,0,0,True,True
qwen3_4b,test,18179903,generation_1,2,3,3,7,5,False,False
qwen3_4b,test,18179903,generation_2,2,3,2,7,4,False,False
qwen3_4b,test,18179903,generation_3,2,3,1,7,3,False,False
qwen3_4b,test,18257781,generation_1,0,3,0,3,0,True,True
qwen3_4b,test,18257781,generation_2,1,3,0,3,1,False,False
qwen3_4b,test,18257781,generation_3,0,3,0,3,0,True,True
