model,split,paper_id,generation,rel_idx,num_relations,num_entities,abstract_words,entity_a,type_a,relation_type,entity_b,type_b,prob_supported
qwen3_4b,dev,1671881,generation_1,5,6,10,171,273ser----phe,SequenceVariant,Positive_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.5532378554344177
qwen3_4b,dev,1671881,generation_2,0,6,10,162,phenylketonuria,DiseaseOrPhenotypicFeature,Positive_Correlation,272gly----stop,SequenceVariant,0.8290392756462097
qwen3_4b,dev,1671881,generation_2,1,6,10,162,phenylketonuria,DiseaseOrPhenotypicFeature,Positive_Correlation,273ser----phe,SequenceVariant,0.9767125248908997
qwen3_4b,dev,1671881,generation_2,2,6,10,162,PAH,GeneOrGeneProduct,Association,phenylketonuria,DiseaseOrPhenotypicFeature,0.9962936043739319
qwen3_4b,dev,1671881,generation_2,3,6,10,162,PAH,GeneOrGeneProduct,Negative_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.0006420747376978397
qwen3_4b,dev,1671881,generation_2,4,6,10,162,272gly----stop,SequenceVariant,Positive_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.8311703205108643
qwen3_4b,dev,1671881,generation_2,5,6,10,162,273ser----phe,SequenceVariant,Positive_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.08998172730207443
qwen3_4b,dev,1671881,generation_3,0,6,10,195,phenylketonuria,DiseaseOrPhenotypicFeature,Positive_Correlation,272gly----stop,SequenceVariant,0.009479353204369545
qwen3_4b,dev,1671881,generation_3,1,6,10,195,phenylketonuria,DiseaseOrPhenotypicFeature,Positive_Correlation,273ser----phe,SequenceVariant,0.9576910138130188
qwen3_4b,dev,1671881,generation_3,2,6,10,195,PAH,GeneOrGeneProduct,Association,phenylketonuria,DiseaseOrPhenotypicFeature,0.996358335018158
qwen3_4b,dev,1671881,generation_3,3,6,10,195,PAH,GeneOrGeneProduct,Negative_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.000527522643096745
qwen3_4b,dev,1671881,generation_3,4,6,10,195,272gly----stop,SequenceVariant,Positive_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.9635463953018188
qwen3_4b,dev,1671881,generation_3,5,6,10,195,273ser----phe,SequenceVariant,Positive_Correlation,deficiency of hepatic phenylalanine hydroxylase,DiseaseOrPhenotypicFeature,0.5674530267715454
qwen3_4b,dev,16867246,generation_1,0,6,34,217,DRD2,GeneOrGeneProduct,Association,schizophrenic,DiseaseOrPhenotypicFeature,0.9933214783668518
qwen3_4b,dev,16867246,generation_1,1,6,34,217,antipsychotic drugs,ChemicalEntity,Association,DRD2,GeneOrGeneProduct,0.9966136813163757
qwen3_4b,dev,16867246,generation_1,2,6,34,217,schizophrenic,DiseaseOrPhenotypicFeature,Negative_Correlation,chlorpromazine,ChemicalEntity,0.9627705216407776
qwen3_4b,dev,16867246,generation_1,3,6,34,217,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,Association,DRD2,GeneOrGeneProduct,0.9902730584144592
qwen3_4b,dev,16867246,generation_1,4,6,34,217,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,Positive_Correlation,antipsychotic drugs,ChemicalEntity,0.4853716194629669
qwen3_4b,dev,16867246,generation_1,5,6,34,217,chlorpromazine,ChemicalEntity,Positive_Correlation,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,0.97214275598526
qwen3_4b,dev,16867246,generation_2,0,6,34,215,DRD2,GeneOrGeneProduct,Association,schizophrenic,DiseaseOrPhenotypicFeature,0.9869911074638367
qwen3_4b,dev,16867246,generation_2,1,6,34,215,antipsychotic drugs,ChemicalEntity,Association,DRD2,GeneOrGeneProduct,0.012887020595371723
qwen3_4b,dev,16867246,generation_2,2,6,34,215,schizophrenic,DiseaseOrPhenotypicFeature,Negative_Correlation,chlorpromazine,ChemicalEntity,0.9678993225097656
qwen3_4b,dev,16867246,generation_2,3,6,34,215,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,Association,DRD2,GeneOrGeneProduct,0.0428190678358078
qwen3_4b,dev,16867246,generation_2,4,6,34,215,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,Positive_Correlation,antipsychotic drugs,ChemicalEntity,0.9428064227104187
qwen3_4b,dev,16867246,generation_2,5,6,34,215,chlorpromazine,ChemicalEntity,Positive_Correlation,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,0.9694793224334717
qwen3_4b,dev,16867246,generation_3,0,6,34,163,DRD2,GeneOrGeneProduct,Association,schizophrenic,DiseaseOrPhenotypicFeature,0.9918076395988464
qwen3_4b,dev,16867246,generation_3,1,6,34,163,antipsychotic drugs,ChemicalEntity,Association,DRD2,GeneOrGeneProduct,0.9962567090988159
qwen3_4b,dev,16867246,generation_3,2,6,34,163,schizophrenic,DiseaseOrPhenotypicFeature,Negative_Correlation,chlorpromazine,ChemicalEntity,0.8627296686172485
qwen3_4b,dev,16867246,generation_3,3,6,34,163,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,Association,DRD2,GeneOrGeneProduct,0.9795850515365601
qwen3_4b,dev,16867246,generation_3,4,6,34,163,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,Positive_Correlation,antipsychotic drugs,ChemicalEntity,0.9736758470535278
qwen3_4b,dev,16867246,generation_3,5,6,34,163,chlorpromazine,ChemicalEntity,Positive_Correlation,extrapyramidal syndrome,DiseaseOrPhenotypicFeature,0.9797491431236267
qwen3_4b,dev,17549393,generation_1,0,2,22,129,IRF6,GeneOrGeneProduct,Bind,Smad,GeneOrGeneProduct,0.9783298373222351
qwen3_4b,dev,17549393,generation_1,1,2,22,129,IRF6,GeneOrGeneProduct,Association,Van der Woude syndrome,DiseaseOrPhenotypicFeature,0.9950123429298401
qwen3_4b,dev,17549393,generation_2,0,2,22,134,IRF6,GeneOrGeneProduct,Bind,Smad,GeneOrGeneProduct,0.8615378737449646
qwen3_4b,dev,17549393,generation_2,1,2,22,134,IRF6,GeneOrGeneProduct,Association,Van der Woude syndrome,DiseaseOrPhenotypicFeature,0.9947506785392761
qwen3_4b,dev,17549393,generation_3,0,2,22,160,IRF6,GeneOrGeneProduct,Bind,Smad,GeneOrGeneProduct,0.3115096986293793
qwen3_4b,dev,17549393,generation_3,1,2,22,160,IRF6,GeneOrGeneProduct,Association,Van der Woude syndrome,DiseaseOrPhenotypicFeature,0.9942817687988281
qwen3_4b,dev,17962394,generation_1,0,2,17,135,X linked nystagmus,DiseaseOrPhenotypicFeature,Association,FRMD7,GeneOrGeneProduct,0.996915340423584
qwen3_4b,dev,17962394,generation_1,1,2,17,135,X linked nystagmus,DiseaseOrPhenotypicFeature,Positive_Correlation,p.R229G,SequenceVariant,0.9841606020927429
qwen3_4b,dev,17962394,generation_2,0,2,17,147,X linked nystagmus,DiseaseOrPhenotypicFeature,Association,FRMD7,GeneOrGeneProduct,0.9974581599235535
qwen3_4b,dev,17962394,generation_2,1,2,17,147,X linked nystagmus,DiseaseOrPhenotypicFeature,Positive_Correlation,p.R229G,SequenceVariant,0.9791402816772461
qwen3_4b,dev,17962394,generation_3,0,2,17,193,X linked nystagmus,DiseaseOrPhenotypicFeature,Association,FRMD7,GeneOrGeneProduct,0.997014045715332
qwen3_4b,dev,17962394,generation_3,1,2,17,193,X linked nystagmus,DiseaseOrPhenotypicFeature,Positive_Correlation,p.R229G,SequenceVariant,0.9807915091514587
qwen3_4b,dev,18046082,generation_1,0,2,35,148,apolipoprotein E,GeneOrGeneProduct,Bind,lipids,ChemicalEntity,0.9863982796669006
qwen3_4b,dev,18046082,generation_1,1,2,35,148,apolipoprotein E,GeneOrGeneProduct,Association,lipoprotein glomerulopathy,DiseaseOrPhenotypicFeature,0.9954410791397095
qwen3_4b,dev,18046082,generation_2,0,2,35,133,apolipoprotein E,GeneOrGeneProduct,Bind,lipids,ChemicalEntity,0.9886681437492371
qwen3_4b,dev,18046082,generation_2,1,2,35,133,apolipoprotein E,GeneOrGeneProduct,Association,lipoprotein glomerulopathy,DiseaseOrPhenotypicFeature,0.9944522976875305
qwen3_4b,dev,18046082,generation_3,0,2,35,151,apolipoprotein E,GeneOrGeneProduct,Bind,lipids,ChemicalEntity,0.9869228005409241
qwen3_4b,dev,18046082,generation_3,1,2,35,151,apolipoprotein E,GeneOrGeneProduct,Association,lipoprotein glomerulopathy,DiseaseOrPhenotypicFeature,0.9945699572563171
qwen3_4b,dev,21054465,generation_1,0,2,22,167,CYP2C8,GeneOrGeneProduct,Association,hypertensive,DiseaseOrPhenotypicFeature,0.9939490556716919
qwen3_4b,dev,21054465,generation_1,1,2,22,167,Arachidonic acid,ChemicalEntity,Association,hypertensive,DiseaseOrPhenotypicFeature,0.9872654676437378
qwen3_4b,dev,21054465,generation_2,0,2,22,152,CYP2C8,GeneOrGeneProduct,Association,hypertensive,DiseaseOrPhenotypicFeature,0.9937000274658203
qwen3_4b,dev,21054465,generation_2,1,2,22,152,Arachidonic acid,ChemicalEntity,Association,hypertensive,DiseaseOrPhenotypicFeature,0.9841289520263672
qwen3_4b,dev,21054465,generation_3,0,2,22,180,CYP2C8,GeneOrGeneProduct,Association,hypertensive,DiseaseOrPhenotypicFeature,0.9918444752693176
qwen3_4b,dev,21054465,generation_3,1,2,22,180,Arachidonic acid,ChemicalEntity,Association,hypertensive,DiseaseOrPhenotypicFeature,0.9814131259918213
qwen3_4b,dev,22711886,generation_1,0,15,45,234,BCL-2,GeneOrGeneProduct,Association,X-linked inhibitor of apoptosis,GeneOrGeneProduct,0.11263570189476013
qwen3_4b,dev,22711886,generation_1,1,15,45,234,BCL-2,GeneOrGeneProduct,Association,chronic lymphocytic leukemia,DiseaseOrPhenotypicFeature,0.9931622743606567
qwen3_4b,dev,22711886,generation_1,2,15,45,234,BCR,GeneOrGeneProduct,Association,p38 MAPK,GeneOrGeneProduct,0.0004210166516713798
qwen3_4b,dev,22711886,generation_1,3,15,45,234,CD40,GeneOrGeneProduct,Association,p38 MAPK,GeneOrGeneProduct,0.0023467980790883303
qwen3_4b,dev,22711886,generation_1,4,15,45,234,ERK,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.000262136833043769
qwen3_4b,dev,22711886,generation_1,5,15,45,234,JNK,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.0002821900707203895
qwen3_4b,dev,22711886,generation_1,6,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Association,B cell activating factor,GeneOrGeneProduct,0.5024591088294983
qwen3_4b,dev,22711886,generation_1,7,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Negative_Correlation,X-linked inhibitor of apoptosis,GeneOrGeneProduct,0.02895691990852356
qwen3_4b,dev,22711886,generation_1,8,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Association,BCL-2,GeneOrGeneProduct,0.9489412903785706
qwen3_4b,dev,22711886,generation_1,9,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,p38 MAPK,GeneOrGeneProduct,0.9863153100013733
qwen3_4b,dev,22711886,generation_1,10,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Association,BCR,GeneOrGeneProduct,0.9871093034744263
qwen3_4b,dev,22711886,generation_1,11,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.991606593132019
qwen3_4b,dev,22711886,generation_1,12,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,ERK,GeneOrGeneProduct,0.9822538495063782
qwen3_4b,dev,22711886,generation_1,13,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,JNK,GeneOrGeneProduct,0.9849252104759216
qwen3_4b,dev,22711886,generation_1,14,15,45,234,TNFR-associated factor 2,GeneOrGeneProduct,Negative_Correlation,chronic lymphocytic leukemia,DiseaseOrPhenotypicFeature,0.008321820758283138
qwen3_4b,dev,22711886,generation_2,0,15,45,224,BCL-2,GeneOrGeneProduct,Association,X-linked inhibitor of apoptosis,GeneOrGeneProduct,0.0013407059013843536
qwen3_4b,dev,22711886,generation_2,1,15,45,224,BCL-2,GeneOrGeneProduct,Association,chronic lymphocytic leukemia,DiseaseOrPhenotypicFeature,0.9944800138473511
qwen3_4b,dev,22711886,generation_2,2,15,45,224,BCR,GeneOrGeneProduct,Association,p38 MAPK,GeneOrGeneProduct,0.0003780211554840207
qwen3_4b,dev,22711886,generation_2,3,15,45,224,CD40,GeneOrGeneProduct,Association,p38 MAPK,GeneOrGeneProduct,0.0014499160461127758
qwen3_4b,dev,22711886,generation_2,4,15,45,224,ERK,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.0002397679927526042
qwen3_4b,dev,22711886,generation_2,5,15,45,224,JNK,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.00027218213654123247
qwen3_4b,dev,22711886,generation_2,6,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Association,B cell activating factor,GeneOrGeneProduct,0.06779371201992035
qwen3_4b,dev,22711886,generation_2,7,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Negative_Correlation,X-linked inhibitor of apoptosis,GeneOrGeneProduct,0.807442307472229
qwen3_4b,dev,22711886,generation_2,8,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Association,BCL-2,GeneOrGeneProduct,0.996173083782196
qwen3_4b,dev,22711886,generation_2,9,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,p38 MAPK,GeneOrGeneProduct,0.9851009249687195
qwen3_4b,dev,22711886,generation_2,10,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Association,BCR,GeneOrGeneProduct,0.9953407049179077
qwen3_4b,dev,22711886,generation_2,11,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.01693771593272686
qwen3_4b,dev,22711886,generation_2,12,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,ERK,GeneOrGeneProduct,0.9638374447822571
qwen3_4b,dev,22711886,generation_2,13,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,JNK,GeneOrGeneProduct,0.973851203918457
qwen3_4b,dev,22711886,generation_2,14,15,45,224,TNFR-associated factor 2,GeneOrGeneProduct,Negative_Correlation,chronic lymphocytic leukemia,DiseaseOrPhenotypicFeature,0.004819657653570175
qwen3_4b,dev,22711886,generation_3,0,15,45,247,BCL-2,GeneOrGeneProduct,Association,X-linked inhibitor of apoptosis,GeneOrGeneProduct,0.0007893855217844248
qwen3_4b,dev,22711886,generation_3,1,15,45,247,BCL-2,GeneOrGeneProduct,Association,chronic lymphocytic leukemia,DiseaseOrPhenotypicFeature,0.6347688436508179
qwen3_4b,dev,22711886,generation_3,2,15,45,247,BCR,GeneOrGeneProduct,Association,p38 MAPK,GeneOrGeneProduct,0.0029399991035461426
qwen3_4b,dev,22711886,generation_3,3,15,45,247,CD40,GeneOrGeneProduct,Association,p38 MAPK,GeneOrGeneProduct,0.01500463206321001
qwen3_4b,dev,22711886,generation_3,4,15,45,247,ERK,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.00027489932836033404
qwen3_4b,dev,22711886,generation_3,5,15,45,247,JNK,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.0004360260791145265
qwen3_4b,dev,22711886,generation_3,6,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Association,B cell activating factor,GeneOrGeneProduct,0.0006431674119085073
qwen3_4b,dev,22711886,generation_3,7,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Negative_Correlation,X-linked inhibitor of apoptosis,GeneOrGeneProduct,0.37382689118385315
qwen3_4b,dev,22711886,generation_3,8,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Association,BCL-2,GeneOrGeneProduct,0.9942004680633545
qwen3_4b,dev,22711886,generation_3,9,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,p38 MAPK,GeneOrGeneProduct,0.9804043173789978
qwen3_4b,dev,22711886,generation_3,10,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Association,BCR,GeneOrGeneProduct,0.9723761081695557
qwen3_4b,dev,22711886,generation_3,11,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Association,CD40,GeneOrGeneProduct,0.10946092009544373
qwen3_4b,dev,22711886,generation_3,12,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,ERK,GeneOrGeneProduct,0.11061529815196991
qwen3_4b,dev,22711886,generation_3,13,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Positive_Correlation,JNK,GeneOrGeneProduct,0.9389365911483765
qwen3_4b,dev,22711886,generation_3,14,15,45,247,TNFR-associated factor 2,GeneOrGeneProduct,Negative_Correlation,chronic lymphocytic leukemia,DiseaseOrPhenotypicFeature,0.0034817762207239866
qwen3_4b,dev,24036311,generation_1,0,19,30,200,Setd2,GeneOrGeneProduct,Association,histone H3,GeneOrGeneProduct,0.98533695936203
qwen3_4b,dev,24036311,generation_1,1,19,30,200,Rtf1,GeneOrGeneProduct,Association,histone H3,GeneOrGeneProduct,0.00296628475189209
qwen3_4b,dev,24036311,generation_1,2,19,30,200,54624,unknown,Association,histone H3,GeneOrGeneProduct,0.118667371571064
qwen3_4b,dev,24036311,generation_1,3,19,30,200,CTR9,GeneOrGeneProduct,Negative_Correlation,Meg3,GeneOrGeneProduct,0.006313557270914316
qwen3_4b,dev,24036311,generation_1,4,19,30,200,CTR9,GeneOrGeneProduct,Negative_Correlation,Snrpn,GeneOrGeneProduct,0.0038395116571336985
qwen3_4b,dev,24036311,generation_1,5,19,30,200,CTR9,GeneOrGeneProduct,Negative_Correlation,Peg3,GeneOrGeneProduct,0.004586386494338512
qwen3_4b,dev,24036311,generation_1,6,19,30,200,CTR9,GeneOrGeneProduct,Negative_Correlation,Mest,GeneOrGeneProduct,0.0023410634603351355
qwen3_4b,dev,24036311,generation_1,7,19,30,200,CTR9,GeneOrGeneProduct,Negative_Correlation,Sox17,GeneOrGeneProduct,0.007512301672250032
qwen3_4b,dev,24036311,generation_1,8,19,30,200,CTR9,GeneOrGeneProduct,Negative_Correlation,Fgf4,GeneOrGeneProduct,0.008704227395355701
qwen3_4b,dev,24036311,generation_1,9,19,30,200,CTR9,GeneOrGeneProduct,Association,Gata6,GeneOrGeneProduct,0.00019981502555310726
qwen3_4b,dev,24036311,generation_1,10,19,30,200,CTR9,GeneOrGeneProduct,Negative_Correlation,Nanog,GeneOrGeneProduct,0.19159308075904846
